model_name,model_type,accuracy,precision,recall,f1_score,roc_auc,pr_auc
Random Forest,machine_learning,0.999339846844468,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9949499725747573,0.9326561093089749
Deep Learning,deep_learning,0.9985476630578294,0.6923076923076923,0.8571428571428571,0.7659574468085106,0.930138134957412,0.8449331490679779
Gradient Boosting,machine_learning,0.9977554792711909,0.5555555555555556,0.9523809523809523,0.7017543859649122,0.9993064881188806,0.9281490914786517
Logistic Regression,machine_learning,0.9820438341695273,0.12418300653594772,0.9047619047619048,0.21839080459770116,0.994814422525266,0.4826156175017978
